dataset,label,num_samples,mean_frames,std_frames,min_frames,max_frames,sequence_length_variance
ASL,a,4,60.0,0.0,60.0,60.0,0.0
ASL,a lot,7,60.0,0.0,60.0,60.0,0.0
ASL,abdomen,5,60.2,0.4,60.0,61.0,0.16
ASL,able,5,60.0,0.0,60.0,60.0,0.0
ASL,about,7,64.85714285714286,7.698396334461417,60.0,78.0,59.265306122448976
ASL,above,5,64.4,8.8,60.0,82.0,77.44000000000003
ASL,accent,5,60.0,0.0,60.0,60.0,0.0
ASL,accept,8,65.625,9.745992766260398,60.0,83.0,94.984375
ASL,accident,13,65.23076923076923,13.232558018613648,60.0,108.0,175.10059171597638
ASL,accomplish,5,66.2,9.303762679690406,60.0,84.0,86.56000000000002
ASL,accountant,5,66.0,9.57078889120432,60.0,85.0,91.6
ASL,across,6,70.16666666666667,14.450105728179139,60.0,93.0,208.80555555555557
ASL,act,5,66.0,8.0,60.0,80.0,64.0
ASL,action,6,62.333333333333336,4.384315479321969,60.0,72.0,19.222222222222225
ASL,active,5,62.4,4.8,60.0,72.0,23.04
ASL,activity,5,62.4,4.8,60.0,72.0,23.04
ASL,actor,6,67.83333333333333,10.172129679778086,60.0,88.0,103.47222222222223
ASL,adapt,6,67.16666666666667,9.668103341515451,60.0,84.0,93.47222222222223
ASL,add,9,65.55555555555556,7.544108976341313,60.0,81.0,56.913580246913575
ASL,address,4,60.0,0.0,60.0,60.0,0.0
ASL,adjective,4,78.5,32.04293994002423,60.0,134.0,1026.75
ASL,adjust,4,65.25,4.815340071064556,60.0,71.0,23.1875
ASL,admire,5,66.2,10.457533169921097,60.0,87.0,109.35999999999999
ASL,admit,5,65.2,10.4,60.0,86.0,108.16000000000001
ASL,adopt,6,60.0,0.0,60.0,60.0,0.0
ASL,adult,7,61.42857142857143,3.499271061118826,60.0,70.0,12.244897959183673
ASL,advanced,4,65.25,5.80409338312195,60.0,74.0,33.6875
ASL,advantage,4,63.75,6.49519052838329,60.0,75.0,42.1875
ASL,adverb,4,76.5,22.197972880423112,60.0,114.0,492.75
ASL,affect,6,69.33333333333333,12.202003478482084,60.0,94.0,148.88888888888889
ASL,afraid,5,60.0,0.0,60.0,60.0,0.0
ASL,africa,9,62.44444444444444,6.913932971601797,60.0,82.0,47.80246913580246
ASL,after,7,63.142857142857146,7.698396334461417,60.0,82.0,59.265306122448976
ASL,afternoon,7,63.42857142857143,8.398250546685182,60.0,84.0,70.53061224489795
ASL,again,8,61.25,2.947456530637899,60.0,69.0,8.6875
ASL,against,5,61.8,3.6,60.0,69.0,12.959999999999999
ASL,age,7,60.0,0.0,60.0,60.0,0.0
ASL,agenda,4,60.0,0.0,60.0,60.0,0.0
ASL,ago,9,63.111111111111114,6.690697429922044,60.0,81.0,44.76543209876544
ASL,agree,5,65.4,8.522910301065007,60.0,82.0,72.64000000000001
ASL,agreement,6,62.166666666666664,3.1841621957571333,60.0,68.0,10.13888888888889
ASL,ahead,4,66.75,11.691342951089922,60.0,87.0,136.6875
ASL,aid,5,62.6,5.2,60.0,73.0,27.040000000000003
ASL,aim,5,70.0,14.085453489327207,60.0,96.0,198.4
ASL,airplane,7,65.71428571428571,9.89537100602796,60.0,89.0,97.9183673469388
ASL,alarm,5,60.0,0.0,60.0,60.0,0.0
ASL,alcohol,4,60.5,0.8660254037844386,60.0,62.0,0.75
ASL,algebra,5,67.0,13.505554412907307,60.0,94.0,182.4
ASL,all,8,67.75,16.444984037693683,60.0,110.0,270.4375
ASL,all day,5,62.4,3.878143885933063,60.0,70.0,15.039999999999997
ASL,allergy,8,66.0,8.845903006477066,60.0,85.0,78.25
ASL,alligator,5,65.4,6.8,60.0,76.0,46.239999999999995
ASL,allow,8,61.0,2.6457513110645907,60.0,68.0,7.0
ASL,almost,5,61.6,3.1999999999999997,60.0,68.0,10.239999999999998
ASL,alone,9,62.333333333333336,6.599663291074443,60.0,81.0,43.55555555555556
ASL,alphabet,4,64.75,8.227241335952167,60.0,79.0,67.6875
ASL,already,8,60.625,1.653594569415369,60.0,65.0,2.734375
ASL,also,7,60.0,0.0,60.0,60.0,0.0
ASL,always,7,63.42857142857143,7.594305062858293,60.0,82.0,57.6734693877551
ASL,amazing,5,60.2,0.4,60.0,61.0,0.16
ASL,america,6,72.5,18.34620760084583,60.0,110.0,336.5833333333333
ASL,amputate,5,64.6,9.200000000000001,60.0,83.0,84.64000000000001
ASL,analyze,8,66.25,11.008519428151999,60.0,89.0,121.1875
ASL,anatomy,4,71.75,14.095655359010449,60.0,95.0,198.6875
ASL,and,5,60.2,0.4,60.0,61.0,0.16
ASL,angel,7,60.0,0.0,60.0,60.0,0.0
ASL,angle,6,68.83333333333333,12.889487533990204,60.0,92.0,166.13888888888889
ASL,angry,7,60.0,0.0,60.0,60.0,0.0
ASL,animal,9,65.11111111111111,7.992280225935309,60.0,80.0,63.876543209876544
ASL,anniversary,5,77.4,12.89340916902896,60.0,94.0,166.24000000000004
ASL,announce,5,65.4,8.935323161475472,60.0,83.0,79.84000000000002
ASL,annoy,4,71.75,7.8859051477937525,60.0,82.0,62.1875
ASL,another,5,60.0,0.0,60.0,60.0,0.0
ASL,answer,7,61.142857142857146,2.799416848895061,60.0,68.0,7.836734693877553
ASL,any,5,60.0,0.0,60.0,60.0,0.0
ASL,anyway,4,74.25,17.151894939043906,60.0,102.0,294.1875
ASL,apart,5,60.0,0.0,60.0,60.0,0.0
ASL,apartment,6,70.5,18.291619210264937,60.0,110.0,334.5833333333333
ASL,apostrophe,6,60.0,0.0,60.0,60.0,0.0
ASL,appear,7,63.714285714285715,5.872801368884133,60.0,73.0,34.48979591836735
ASL,appetite,5,65.8,10.628264204469138,60.0,87.0,112.96000000000001
ASL,apple,11,64.72727272727273,10.73728346456156,60.0,95.0,115.28925619834709
ASL,appointment,10,72.7,27.60815097032034,60.0,153.0,762.2099999999999
ASL,appreciate,5,61.2,2.4000000000000004,60.0,66.0,5.760000000000001
ASL,approach,5,64.4,8.8,60.0,82.0,77.44000000000001
ASL,appropriate,5,65.4,8.935323161475472,60.0,83.0,79.84
ASL,approve,8,63.875,6.716351316004844,60.0,76.0,45.109375
ASL,april,5,97.0,51.637195895981804,60.0,196.0,2666.4
ASL,archery,5,60.0,0.0,60.0,60.0,0.0
ASL,area,7,63.857142857142854,7.49149177264394,60.0,82.0,56.122448979591844
ASL,argue,10,61.1,3.3000000000000003,60.0,71.0,10.890000000000002
ASL,arizona,4,66.5,11.258330249197702,60.0,86.0,126.75
ASL,arm,7,63.42857142857143,8.398250546685182,60.0,84.0,70.53061224489795
ASL,army,5,63.4,6.800000000000001,60.0,77.0,46.24000000000001
ASL,around,5,67.4,9.951884243699784,60.0,85.0,99.04
ASL,arrest,6,60.0,0.0,60.0,60.0,0.0
ASL,arrive,8,63.0,7.937253933193772,60.0,84.0,63.0
ASL,arrogant,6,64.16666666666667,4.336537277085895,60.0,70.0,18.805555555555554
ASL,art,7,66.71428571428571,10.91151797367332,60.0,92.0,119.0612244897959
ASL,article,4,91.25,39.6445141223852,60.0,157.0,1571.6875
ASL,artist,5,70.2,10.665833300778706,60.0,87.0,113.75999999999999
ASL,asia,7,63.285714285714285,6.562105187346201,60.0,79.0,43.06122448979592
ASL,ask,7,60.0,0.0,60.0,60.0,0.0
ASL,asl,4,61.25,2.165063509461097,60.0,65.0,4.6875
ASL,assist,5,60.0,0.0,60.0,60.0,0.0
ASL,assistant,5,60.6,1.2000000000000002,60.0,63.0,1.4400000000000004
ASL,assume,4,69.0,12.864680330268607,60.0,91.0,165.5
ASL,attend,5,67.8,9.6,60.0,81.0,92.16
ASL,attention,6,62.666666666666664,4.14996653266291,60.0,71.0,17.22222222222222
ASL,attitude,7,66.28571428571429,10.443238218569752,60.0,88.0,109.06122448979592
ASL,attorney,4,78.25,20.595812681222366,60.0,110.0,424.1875
ASL,attract,6,61.5,3.3541019662496847,60.0,69.0,11.25
ASL,auction,5,60.0,0.0,60.0,60.0,0.0
ASL,audience,6,63.333333333333336,7.4535599249993,60.0,80.0,55.55555555555557
