metric,dataset,count,mean,std,median,q1,q3,min,max
num_frames,ASL,11980,65.64799666110184,10.895116157563454,60.0,60.0,67.0,60.0,196.0
num_frames,VSL,4362,92.48051352590555,31.28068358332498,85.0,75.0,98.0,60.0,465.0
hand_frame_missing_ratio,ASL,11980,0.3962996669545862,0.2122529984555756,0.40909090909090906,0.24055111058036777,0.5666666666666667,0.0,1.0
hand_frame_missing_ratio,VSL,4362,0.3225809785317092,0.22598122525664932,0.3350015013512161,0.06936493738819319,0.4953589446786205,0.0,1.0
hand_point_missing_ratio,ASL,11980,0.3962996669545862,0.2122529984555756,0.40909090909090906,0.24055111058036777,0.5666666666666667,0.0,1.0
hand_point_missing_ratio,VSL,4362,0.3225809785317092,0.22598122525664932,0.3350015013512161,0.06936493738819319,0.4953589446786205,0.0,1.0
total_motion,ASL,11972,12.067893587405012,7.389343668107453,10.995932105462998,6.732760835671797,16.174172374187037,0.2468836223706603,74.12991926074028
total_motion,VSL,4357,25.014237430867485,14.884932993298552,21.24360467493534,15.148725718259811,30.0982453962788,0.42178410291671753,144.27736008167267
mean_motion,ASL,11972,0.22573331786325831,0.12611376938404653,0.21817850140715714,0.13375150150731915,0.30046306582979504,0.0041844681757739035,1.0190894969872066
mean_motion,VSL,4357,0.3254115904900464,0.15143440676541614,0.2928192572466828,0.23314663315026196,0.3715523093007505,0.012315851241602735,3.0823673079180165
max_motion,ASL,11972,0.9996113946058934,0.5902843804134337,0.894029825925827,0.6047659516334534,1.262772798538208,0.042333416640758514,11.704215049743652
max_motion,VSL,4357,1.6241283405325078,0.9453987911871988,1.3586807250976562,1.086413860321045,1.811391830444336,0.1646544635295868,10.384822845458984
motion_variance,ASL,11972,0.0563347685980271,0.06765004417685175,0.03905857540667057,0.018765070009976625,0.07071029394865036,9.41901671467349e-05,1.9780269861221313
motion_variance,VSL,4357,0.12223770956021511,0.18598773942249167,0.07505878806114197,0.052024465054273605,0.11864829063415527,0.0009272315655834973,5.8576812744140625
mean_velocity,ASL,11972,6.403772621411364,3.6574607827850523,6.109517364588234,3.6727039027051265,8.588370669420769,0.12540850851495386,30.572684907913207
mean_velocity,VSL,4357,9.687352444353719,4.518749970926375,8.731412221556125,6.9574923422601485,11.054418872251656,0.36910605733677493,92.37854538407437
max_velocity,ASL,11972,28.26567843436916,16.683758166593652,25.370144844055176,16.866814136505127,35.87423038482666,1.2687324285507202,351.12646484375
