dataset,label,num_samples,mean_total_motion,std_total_motion,mean_velocity,motion_variance_mean,acceleration_mean,trajectory_length_mean,straightness_mean,direction_change_mean,lr_hand_dist_mean,hand_face_dist_mean,hand_body_dist_mean,hand_missing_mean,sequence_length_variance,motion_complexity_score
ASL,nun,4,8.575901644537225,5.146660823062909,3.6535202654231194,0.09414871083572507,4.427981811049251,8.575901630887529,0.044057914510025664,73.0,1.2283425459555026,,,0.00833333333333336,256.6875,0.74960953
ASL,microscope,4,9.05414270889014,4.378908981417456,4.3600536575020765,0.04063503909856081,5.0404767898157585,9.054142692417372,0.0483996016095199,56.5,0.9722890371368045,,,0.15490591397849462,0.75,0.70351094
ASL,midnight,4,7.240626613842323,4.718538959088125,3.324422656106323,0.05918400874361396,4.067929194777806,7.24062659961055,0.1413313663050396,77.5,1.0370198146453826,,,0.010545722713864336,526.6875,0.6208486
ASL,narrow,4,8.812556501477957,3.7968955140998855,3.4918885959499435,0.02981939446181059,3.7577216802431086,8.81255653660628,0.051246774281725416,102.0,1.16380691935649,,,0.014950980392156865,341.1875,0.6126395
ASL,movie,5,8.139205698762089,1.7299380703798897,3.718680581065967,0.037610293738543986,3.372207476969907,8.13920570181217,0.06437324723518537,82.6,0.8724355832999097,,,0.0,132.4,0.5651897
ASL,nice,6,8.884105417877436,1.4095709239349334,3.7008981770461364,0.023156937832633655,3.152503381614094,8.884105405285178,0.09503179928396817,84.5,0.9028623309361442,,,0.012336977368622937,137.22222222222223,0.5634733
ASL,look for,3,9.665308906696737,2.7195213570149637,3.7127518231273946,0.016180244895319145,2.35779054972599,9.665308919230787,0.028333230279563738,108.66666666666667,0.8161349135447827,,,0.001831501831501825,149.55555555555554,0.5554997
ASL,ocean,5,9.639522318542003,1.0285258691522179,3.337219011380907,0.011566922534257174,2.0972305595174063,9.639522306551225,0.09587685641317507,106.4,0.9113629548755611,,,0.005714285714285716,397.36,0.54507965
ASL,monkey,7,8.07870661932975,5.037038428368347,3.6383780219767696,0.03814108543364065,3.095809894483603,8.078706636542588,0.08950356958473149,79.28571428571429,1.0787636478382356,,,0.00714285714285715,103.55102040816325,0.5436486
ASL,let,4,7.981046394445002,5.063789190727411,3.830689186444818,0.02283689845353365,3.617319168175116,7.981046405329835,0.13238373246142504,72.75,1.1869258203571231,,,0.0,67.6875,0.5382708
ASL,middle,7,8.339233370098684,2.8783768472054314,3.353554978617891,0.02419238949992827,2.6076679500605393,8.339233358311633,0.08869054137042151,92.0,1.0197821263410518,,,0.023733129615482573,173.71428571428572,0.50229746
ASL,mosquito,4,8.28234516386874,2.9889234294049634,3.6896564197641633,0.01503277337178588,2.7063712610857715,8.282345165731385,0.0388968545325496,78.0,0.7176218711255835,,,0.13658008658008658,48.5,0.4889678
ASL,maybe,6,8.013280933645243,3.7367269832534005,3.4727627438910136,0.01817367070664962,2.559180065684076,8.013280929784136,0.05841553577353007,84.83333333333333,0.8380972660447985,,,0.004650436953807753,130.55555555555554,0.47443846
ASL,marry,7,7.575984961220196,4.210993842461397,3.31440277584998,0.028329209557601383,2.736746921292893,7.575984962259619,0.10311546235145795,75.14285714285714,0.976477278771662,,,0.0,66.20408163265306,0.46405718
ASL,librarian,4,8.657162497518584,2.151067092090686,3.4010581060739034,0.011714366031810641,1.8830301230059656,8.657162504299777,0.048375889443493233,76.5,1.0100997410714625,,,0.16511963696369636,140.6875,0.46127567
ASL,leader,5,8.112242810428143,2.372097288353172,3.0143958075264043,0.01982754562050104,2.096382610963426,8.112242807494477,0.06657804202667772,88.4,0.7693920402835268,,,0.15280087486094615,85.76,0.43246248
