VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
mỗi,every,-0.18202411447085315,0.4089879427645734,1,5,movement (51.3%); handshape (44.4%); orientation (3.8%)
con cóc,frog,0.3958803838964856,0.6979401919482429,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
quả nho,grapes,0.22903872784309232,0.6145193639215462,1,7,movement (59.3%); handshape (35.5%); orientation (4.3%)
bánh hamburger,hamburger,-0.4883234233056388,0.2558382883471806,1,6,movement (63.0%); handshape (34.2%); orientation (2.7%)
con ngựa,horse,-0.30427588334968747,0.34786205832515626,3,4,movement (62.9%); handshape (32.5%); orientation (4.0%)
bên trong,inside,0.3702148693939668,0.6851074346969834,1,6,handshape (48.8%); movement (44.7%); orientation (6.4%)
lắng nghe,listen,0.5501411500056947,0.7750705750028474,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
con chuột,mouse,0.018656352845037603,0.5093281764225188,3,5,movement (58.6%); handshape (35.2%); orientation (5.6%)
bảo tàng,museum,0.09250149269597162,0.5462507463479858,1,5,handshape (61.9%); movement (36.2%); orientation (1.9%)
chương trình,program,0.3876572432178378,0.6938286216089189,1,6,movement (56.9%); handshape (32.8%); orientation (10.3%)
con chuột,rat,0.0533647965623645,0.5266823982811822,3,6,movement (56.3%); handshape (37.2%); orientation (5.9%)
nghỉ ngơi,rest,-0.08496950471492287,0.4575152476425386,1,6,handshape (51.6%); movement (39.0%); orientation (9.5%)
con sông,river,0.0856726926733789,0.5428363463366894,1,5,movement (67.9%); handshape (26.8%); orientation (5.4%)
gửi,send,0.04754989695018628,0.5237749484750931,1,5,movement (77.8%); handshape (16.8%); orientation (5.4%)
con cừu,sheep,0.25591273704765904,0.6279563685238295,1,5,movement (72.5%); handshape (22.3%); orientation (5.2%)
bầu trời,sky,-0.055804902962700416,0.47209754851864977,1,8,movement (72.8%); handshape (23.0%); orientation (3.6%)
đứng nghiêm,stand,0.2465937254143303,0.6232968627071651,1,5,movement (48.4%); handshape (46.6%); orientation (5.0%)
dừng lại,stop,-0.1369017477145447,0.43154912614272767,1,5,movement (58.7%); handshape (36.6%); orientation (4.7%)
Mặt trời mọc,sunrise,0.21215582676463315,0.6060779133823165,1,4,movement (78.7%); handshape (18.3%); orientation (2.9%)
con rùa,turtle,0.34833273295631495,0.6741663664781574,1,5,movement (59.7%); handshape (37.8%); orientation (2.5%)
ấm áp,warm,-0.0027204636414793,0.49863976817926037,1,5,handshape (49.5%); movement (43.8%); orientation (6.7%)
rửa tay,wash,-0.031489072223904464,0.48425546388804774,1,6,movement (48.4%); handshape (47.7%); orientation (4.0%)
0 (số không),zero,0.18942632182607824,0.5947131609130392,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
mùa thu,autumn,-0.19175924153131507,0.40412037923434246,1,7,movement (49.9%); handshape (44.8%); orientation (4.8%)
bên dưới,below,0.6934705174706449,0.8467352587353225,1,6,movement (64.9%); handshape (32.4%); orientation (2.7%)
xe đạp,bicycle,0.5589051889066308,0.7794525944533154,1,6,movement (77.6%); handshape (17.2%); spatial relationship (3.5%)
bạn trai,boyfriend,0.18160991139789326,0.5908049556989466,3,5,movement (53.2%); handshape (37.1%); orientation (9.7%)
cầu (cây cầu),bridge,-0.30617207912134475,0.34691396043932765,1,4,movement (79.4%); handshape (17.0%); orientation (3.6%)
máy ảnh,camera,0.6808420416688515,0.8404210208344258,1,5,movement (52.8%); handshape (43.1%); orientation (4.0%)
bố,dad,0.4205600880866142,0.7102800440433071,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
8,eight,0.40887412238357457,0.7044370611917873,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
găng tay,gloves,-0.07573527691787055,0.46213236154106474,1,2,handshape (54.2%); movement (37.1%); orientation (8.7%)
con dê,goat,0.04447214251706657,0.5222360712585333,1,6,movement (68.1%); handshape (26.4%); orientation (5.5%)
tạm biệt,goodbye,-0.03005621233527655,0.4849718938323617,1,5,movement (53.3%); handshape (41.3%); orientation (4.9%)
thông tin,information,-0.21478980463677402,0.392605097681613,3,7,movement (54.6%); handshape (38.8%); orientation (6.5%)
phiên dịch,interpret,0.674184270373043,0.8370921351865215,3,4,movement (61.0%); handshape (36.4%); orientation (2.6%)
bàn phím (máy vi tính),keyboard,0.37045134467438307,0.6852256723371916,1,6,handshape (61.6%); movement (34.1%); orientation (4.3%)
giận dữ,mad,0.4082339246610038,0.7041169623305019,1,5,movement (67.7%); handshape (26.2%); orientation (5.2%)
núi cao,mountain,-0.1253369619388738,0.4373315190305631,1,5,movement (51.2%); handshape (41.0%); orientation (6.2%)
nấm,mushroom,0.6248277155352189,0.8124138577676094,1,5,movement (53.3%); handshape (39.9%); orientation (6.8%)
cổ,neck,0.6103018229773673,0.8051509114886837,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
đại dương,ocean,0.2804261287755577,0.6402130643877788,1,5,movement (51.9%); handshape (42.3%); orientation (5.8%)
mở cửa,open,-0.16101379420382814,0.41949310289808595,1,7,movement (78.7%); handshape (16.5%); orientation (4.8%)
cha mẹ,parents,0.15641432370287073,0.5782071618514354,1,3,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
cầu nguyện,pray,0.30340761682795747,0.6517038084139788,1,6,movement (51.4%); handshape (42.7%); orientation (5.9%)
máy in,printer,0.03482946685365834,0.5174147334268292,3,6,movement (44.5%); handshape (43.4%); orientation (12.1%)
dự án,project,0.004015703732047419,0.5020078518660237,1,7,handshape (55.5%); movement (40.3%); orientation (4.3%)
mái nhà,roof,0.49703811405415077,0.7485190570270754,1,4,movement (73.4%); handshape (22.4%); orientation (4.2%)
gà trống,rooster,0.04061025490038859,0.5203051274501943,1,5,movement (64.2%); handshape (31.4%); orientation (4.4%)
nhà bác học,scientist,0.055569395871481915,0.527784697935741,1,5,handshape (57.0%); movement (36.9%); orientation (6.1%)
con tôm,shrimp,0.15658003985752286,0.5782900199287614,3,6,handshape (49.7%); movement (44.4%); orientation (5.3%)
bít tất,socks,0.23950610767659652,0.6197530538382983,1,6,movement (50.0%); handshape (43.6%); orientation (5.6%)
bậc thang,stairs,-0.05918892068962014,0.47040553965518994,1,6,movement (48.8%); handshape (40.4%); spatial relationship (6.5%)
bơi,swim,-0.3350039273128456,0.3324980363435772,1,4,movement (73.8%); handshape (22.2%); orientation (3.6%)
nếm,taste,0.22348527323490497,0.6117426366174525,1,6,movement (53.7%); handshape (39.6%); orientation (6.1%)
nhiệt kế,thermometer,0.06515507931762438,0.5325775396588122,3,5,handshape (57.2%); movement (39.8%); orientation (3.0%)
1000 (một nghìn),thousand,0.13153735194830743,0.5657686759741537,1,6,movement (51.8%); handshape (44.1%); orientation (4.1%)
3,three,0.20117504671904715,0.6005875233595236,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
sờ,touch,-0.0671329905910211,0.46643350470448947,1,5,handshape (58.8%); movement (36.5%); orientation (4.3%)
2,two,0.1471919249775139,0.573595962488757,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
rau,vegetable,-0.3797677258133669,0.31011613709331654,1,5,movement (69.0%); handshape (27.5%); orientation (2.9%)
chúng tôi (đại từ),we,0.1421045318395949,0.5710522659197974,1,7,movement (68.6%); handshape (26.4%); orientation (5.0%)
chào mừng,welcome,-0.08882490796781392,0.455587546016093,1,5,handshape (43.0%); movement (41.5%); spatial relationship (8.5%)
mùa đông,winter,0.798704111325141,0.8993520556625705,1,6,handshape (50.1%); movement (45.8%); orientation (4.1%)
không có,without,-0.10589734228766705,0.4470513288561665,1,7,movement (57.1%); handshape (35.6%); orientation (7.3%)
chó sói,wolf,0.4124863275296289,0.7062431637648144,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bên trên,above,0.3508205906971673,0.6754102953485837,1,5,movement (50.5%); handshape (43.8%); orientation (5.7%)
bảng chữ cái ngón tay,alphabet,0.14609206634432328,0.5730460331721616,1,4,movement (48.5%); handshape (46.8%); orientation (4.2%)
nghệ sĩ,artist,0.23130048287669275,0.6156502414383463,1,5,movement (46.7%); handshape (44.9%); orientation (8.5%)
con ong,bee,0.5433776871395986,0.7716888435697993,2,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
ủng,boots,-0.15904736694835092,0.4204763165258245,1,3,handshape (46.8%); movement (46.2%); orientation (6.9%)
anh dũng,brave,-0.14073436367750658,0.4296328181612467,3,5,handshape (56.4%); movement (34.9%); orientation (8.5%)
con bướm,butterfly,0.4707040432925015,0.7353520216462508,1,5,movement (67.5%); handshape (30.2%); orientation (2.3%)
Trung Quốc (nước Trung Quốc),china,0.754229827871595,0.8771149139357974,3,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
quả dừa,coconut,0.4734943351622883,0.7367471675811441,3,5,movement (55.0%); handshape (36.5%); orientation (8.5%)
giám đốc,director,-0.40934134227198327,0.29532932886400837,1,4,movement (60.8%); handshape (35.0%); orientation (3.5%)
Anh (nước Anh),england,0.3050642408745019,0.652532120437251,3,5,movement (59.5%); handshape (36.9%); orientation (3.6%)
kính,eyeglasses,-0.21116286769669693,0.39441856615165155,1,4,movement (72.3%); handshape (24.3%); orientation (3.0%)
sửa chữa,fix,0.12769419494148984,0.5638470974707449,1,6,movement (57.1%); handshape (37.2%); orientation (5.7%)
4,four,0.36038671464630817,0.6801933573231541,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
sức khỏe,health,0.5411034510498789,0.7705517255249394,1,6,movement (54.0%); handshape (43.3%); orientation (2.5%)
thật thà,honest,-0.14386487911167686,0.42806756044416155,1,5,movement (52.2%); handshape (38.5%); orientation (6.1%)
ôm,hug,0.17291283638338503,0.5864564181916925,1,5,movement (52.0%); handshape (42.9%); orientation (5.1%)
Italia (nước Italia),italy,0.211206858687171,0.6056034293435855,1,5,handshape (49.0%); movement (45.0%); orientation (5.5%)
chìa khóa,key,-0.031708234255778435,0.4841458828721108,1,6,movement (52.3%); handshape (41.4%); orientation (5.7%)
lá cây,leaf,-0.026897766588123304,0.48655111670593837,2,6,handshape (48.9%); movement (43.6%); orientation (7.6%)
bên trái,left,0.2758973197036545,0.6379486598518272,1,5,movement (47.6%); handshape (47.0%); orientation (5.4%)
cô đơn,lonely,0.35372950946000487,0.6768647547300024,1,6,handshape (58.8%); movement (33.2%); orientation (7.2%)
dài,long,-0.16697722513545513,0.41651138743227245,1,5,handshape (49.3%); movement (43.2%); orientation (7.5%)
Mexico (nước Mexico),mexico,-0.5669567631267521,0.21652161843662393,3,6,movement (80.8%); handshape (16.8%); orientation (2.1%)
bánh pía,pie,0.5821265018204268,0.7910632509102133,1,5,movement (61.1%); handshape (34.1%); orientation (4.9%)
đĩa,plate,-0.29151529490600053,0.35424235254699976,1,5,handshape (58.4%); movement (38.2%); orientation (3.4%)
bỏng ngô,popcorn,0.7010227655449743,0.8505113827724872,1,4,movement (54.4%); handshape (40.9%); orientation (4.7%)
7,seven,0.43066082176229603,0.715330410881148,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
dầu gội đầu,shampoo,-0.16518987128316298,0.4174050643584185,1,5,movement (60.8%); handshape (29.1%); orientation (10.1%)
giá sách,shelf,-0.4076022751079941,0.2961988624460029,1,5,handshape (67.0%); movement (26.4%); orientation (6.5%)
ngôn ngữ kí hiệu,sign language,0.14445530813550786,0.5722276540677539,1,5,handshape (65.0%); movement (31.6%); orientation (3.4%)
6,six,0.4078387198860547,0.7039193599430273,3,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
răng,teeth,-0.1470973889252153,0.42645130553739236,1,4,handshape (53.4%); movement (41.7%); orientation (4.8%)
răng,tooth,0.08999839750999253,0.5449991987549963,1,6,movement (55.0%); handshape (39.4%); orientation (5.5%)
bàn chải đánh răng,toothbrush,0.7305923831454193,0.8652961915727096,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bên dưới,under,0.7572538157666625,0.8786269078833313,1,5,movement (61.4%); handshape (34.3%); orientation (4.3%)
bức tường,wall,0.6531289287611509,0.8265644643805754,1,5,movement (61.5%); handshape (35.5%); orientation (3.0%)
kì lạ,weird,0.1909573670862509,0.5954786835431255,1,5,movement (61.7%); handshape (27.6%); orientation (10.0%)
a,a,0.7798113022547181,0.8899056511273591,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bụng,abdomen,0.7897662216433627,0.8948831108216814,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
địa chỉ,address,-0.4423303919069309,0.27883480404653455,3,4,handshape (58.7%); movement (35.4%); orientation (5.9%)
hoảng sợ,afraid,-0.21240379658477687,0.39379810170761154,1,5,movement (67.8%); handshape (26.5%); orientation (4.9%)
đại số,algebra,0.5796987072791588,0.7898493536395794,1,5,movement (48.4%); handshape (42.8%); orientation (8.9%)
b,b,0.4105932825141176,0.7052966412570588,1,4,handshape (46.0%); movement (45.7%); orientation (7.5%)
xe đạp,bike,0.5604311861626922,0.7802155930813461,1,4,movement (74.4%); handshape (17.9%); spatial relationship (5.1%)
con cua,crab,0.2525565027844488,0.6262782513922244,1,6,handshape (49.2%); movement (44.9%); orientation (5.8%)
buổi tối,evening,0.07799034797320432,0.5389951739866021,3,4,movement (65.0%); handshape (27.8%); orientation (7.2%)
bạn gái,girlfriend,0.0426116960411573,0.5213058480205787,3,5,movement (49.2%); handshape (47.1%); orientation (3.0%)
vàng (kim loại),gold,0.20331454918699718,0.6016572745934986,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bãi cỏ,grass,-0.2410702384491562,0.3794648807754219,1,5,movement (49.9%); handshape (43.4%); orientation (6.7%)
máy tính (laptop),laptop,0.34132439758611066,0.6706621987930553,1,6,movement (51.6%); handshape (36.6%); orientation (11.8%)
môi,lip,0.11092689675115612,0.555463448375578,1,4,movement (70.2%); handshape (23.7%); orientation (5.3%)
con cú mèo,owl,0.6592290498555425,0.8296145249277713,1,5,movement (75.4%); handshape (22.1%); orientation (2.5%)
p,p,0.4442371955922888,0.7221185977961444,3,4,handshape (47.8%); movement (45.2%); orientation (6.1%)
hòa bình,peace,0.5576007883466545,0.7788003941733272,1,4,handshape (48.7%); movement (46.0%); orientation (5.3%)
tự hào,proud,-0.23550926499356686,0.3822453675032166,1,5,movement (59.6%); handshape (34.8%); orientation (5.2%)
nhận,receive,0.04390996018212512,0.5219549800910626,1,5,movement (48.9%); handshape (42.8%); orientation (8.3%)
con đường,road,-0.3497990892891626,0.3251004553554187,1,4,movement (55.4%); handshape (31.3%); spatial relationship (10.6%)
vai,shoulder,0.12256276470815401,0.561281382354077,1,4,movement (70.2%); handshape (21.5%); orientation (8.3%)
nói chuyện,speak,-0.29058890452815217,0.3547055477359239,1,5,movement (78.3%); handshape (18.3%); orientation (2.8%)
thìa,spoon,-0.24722036525093638,0.3763898173745318,3,4,movement (68.7%); handshape (27.1%); orientation (3.7%)
mùa xuân,spring,0.25580898743741637,0.6279044937187082,3,6,handshape (54.7%); movement (42.2%); orientation (3.1%)
lưỡi,tongue,0.3259842337662435,0.6629921168831218,1,5,handshape (47.5%); movement (44.3%); orientation (7.5%)
lốc xoáy,tornado,0.13874413569128843,0.5693720678456442,1,5,movement (84.5%); handshape (14.1%); orientation (1.4%)
tháp,tower,0.06589820301724333,0.5329491015086216,1,3,movement (59.4%); handshape (38.0%); orientation (2.6%)
bồi bàn,waiter,-0.13990666933607862,0.4300466653319607,1,3,movement (55.2%); handshape (41.4%); orientation (3.4%)
cá voi,whale,0.1470700747646535,0.5735350373823267,1,6,movement (48.9%); handshape (44.9%); orientation (6.2%)
nhân viên,worker,-0.20203938296755905,0.39898030851622046,1,5,movement (52.9%); handshape (42.7%); orientation (3.9%)
tính từ,adjective,-0.19728133102878112,0.40135933448560945,1,4,movement (50.9%); handshape (45.9%); orientation (3.2%)
con cá sấu,alligator,0.3735069775564929,0.6867534887782465,1,5,movement (65.6%); handshape (26.5%); orientation (6.8%)
giá sách,bookshelf,0.2915989720510931,0.6457994860255465,1,3,handshape (52.3%); movement (39.7%); orientation (8.0%)
sáng tạo,create,-0.3594496958494299,0.32027515207528506,1,4,movement (64.4%); handshape (33.8%); orientation (1.7%)
con cá sấu,crocodile,0.18932026530406704,0.5946601326520335,1,4,movement (63.3%); handshape (28.7%); orientation (7.4%)
d,d,0.7340503826515584,0.8670251913257792,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
vũ công,dancer,-0.16589106924620217,0.41705446537689894,1,4,handshape (55.9%); movement (41.4%); orientation (2.6%)
nguy hiểm,dangerous,-0.378850698796311,0.3105746506018445,3,6,handshape (50.2%); movement (44.4%); orientation (5.4%)
kịch,drama,0.6346479230290716,0.8173239615145358,1,5,movement (51.4%); handshape (44.6%); orientation (4.0%)
e,e,0.2646179927570514,0.6323089963785257,1,4,handshape (57.1%); movement (37.3%); orientation (5.1%)
f,f,0.46032577035555855,0.7301628851777793,1,4,handshape (56.6%); movement (33.6%); orientation (9.0%)
lửa,fire,0.13620733525436185,0.5681036676271809,1,3,movement (67.5%); handshape (24.8%); orientation (7.7%)
5,five,0.32184560064891543,0.6609228003244577,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
g,g,0.4177344135229494,0.7088672067614747,2,4,handshape (57.8%); movement (35.3%); orientation (6.2%)
hình học,geometry,0.08051320467055828,0.5402566023352792,1,5,handshape (56.0%); movement (41.8%); orientation (2.1%)
h,h,0.4885318670666868,0.7442659335333434,3,4,handshape (59.2%); movement (33.4%); orientation (6.6%)
i,i,0.830115382744264,0.915057691372132,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
j,j,0.47021714522432156,0.7351085726121608,1,4,handshape (63.1%); movement (32.2%); orientation (3.9%)
k,k,0.4585849405907451,0.7292924702953726,1,4,handshape (48.9%); movement (44.2%); orientation (6.2%)
đèn điện,lamp,0.4024245965494804,0.7012122982747402,3,2,handshape (50.8%); movement (44.0%); orientation (5.3%)
lãnh đạo,leader,0.2372662717520733,0.6186331358760366,1,5,handshape (53.0%); movement (40.9%); orientation (6.1%)
nhìn,look at,0.10311128575832453,0.5515556428791623,1,2,movement (67.9%); handshape (27.8%); orientation (3.8%)
m,m,0.5300846738302414,0.7650423369151207,1,4,handshape (50.5%); movement (41.8%); orientation (6.8%)
con muỗi,mosquito,-0.5595832982451162,0.2202083508774419,3,4,handshape (55.5%); movement (37.9%); orientation (6.3%)
n,n,0.476037086081567,0.7380185430407835,1,4,handshape (61.0%); movement (30.9%); orientation (7.3%)
9,nine,0.25885209916903,0.629426049584515,1,5,movement (66.6%); handshape (25.1%); orientation (7.6%)
o,o,0.6330592201573939,0.816529610078697,1,4,handshape (45.5%); movement (43.4%); orientation (10.0%)
hoặc,or,-0.11156065743872924,0.4442196712806354,3,3,movement (56.1%); handshape (38.5%); orientation (4.9%)
quả lê,pear,0.06143262389494544,0.5307163119474727,1,3,movement (64.0%); handshape (29.8%); orientation (6.2%)
phi công,pilot,-0.24914821725439423,0.3754258913728029,1,4,movement (68.2%); handshape (27.7%); orientation (4.1%)
công chúa,princess,-0.4688086904865118,0.26559565475674407,1,3,movement (65.6%); handshape (31.0%); orientation (2.9%)
q,q,0.39065214183934255,0.6953260709196712,1,4,handshape (50.7%); movement (40.6%); orientation (8.0%)
r,r,0.523637610774393,0.7618188053871965,1,4,handshape (53.7%); movement (38.1%); orientation (7.3%)
s,s,0.38987115617080265,0.6949355780854013,1,4,handshape (59.0%); movement (34.4%); orientation (6.0%)
biển đông,sea,-0.1952883876634721,0.40235580616826394,1,5,handshape (62.8%); movement (29.3%); orientation (7.9%)
bộ đội,soldier,0.13459349246982158,0.5672967462349108,3,4,movement (66.3%); handshape (29.2%); orientation (4.5%)
bơi lội,swimming,0.5676688958558428,0.7838344479279213,1,6,movement (83.6%); handshape (12.2%); spatial relationship (2.7%)
t,t,0.4547077565826495,0.7273538782913247,3,4,handshape (60.6%); movement (30.9%); orientation (7.7%)
10,ten,0.24358407834785412,0.6217920391739271,1,5,handshape (56.7%); movement (35.4%); orientation (7.4%)
khăn mặt,towel,0.08535488870671563,0.5426774443533579,1,5,movement (51.5%); handshape (43.2%); orientation (5.3%)
u,u,0.45630205713152516,0.7281510285657626,1,4,handshape (60.3%); movement (31.3%); orientation (7.6%)
v,v,0.48517210782479236,0.7425860539123962,1,4,handshape (62.7%); movement (28.4%); orientation (8.1%)
w,w,0.5165222508060061,0.7582611254030031,1,4,handshape (60.7%); movement (31.4%); orientation (7.1%)
