dataset,label,file,sample_id,sample_index,npz_sequence_key,npz_format,video_name,target_frames,source_fps,source_total_frames,train_feature_dim,valid_pose_ratio,valid_left_hand_ratio,valid_right_hand_ratio,valid_face_ratio,num_frames,feature_dim,usable_motion,normalization_scale,has_left_hand,has_right_hand,has_pose,has_face,left_valid_frames,right_valid_frames,left_frame_missing_ratio,right_frame_missing_ratio,hand_frame_missing_ratio,left_point_missing_ratio,right_point_missing_ratio,hand_point_missing_ratio,pose_frame_missing_ratio,pose_point_missing_ratio,face_frame_missing_ratio,face_point_missing_ratio,total_motion,mean_motion,max_motion,motion_variance,mean_velocity,max_velocity,velocity_std,mean_acceleration,max_acceleration,acceleration_std,trajectory_length,displacement,straightness_ratio,direction_change_count,trajectory_bbox_area,hand_face_dist_mean,hand_face_dist_std,hand_body_dist_mean,hand_body_dist_std,left_right_hand_dist_mean,left_right_hand_dist_std
ASL,lead,ASL/lead/32535.npz,32535,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32535.mp4,92,24.0,113,670,1.0,0.7391304347826086,0.717391304347826,1.0,92,670,True,0.23497873544692993,True,True,False,False,92,92,0.0,0.0,0.0,0.16149068322981364,0.0,0.08074534161490682,,,,,4.5199393013026565,0.04966966265167754,0.6127487421035767,0.006256355904042721,1.1920719054210318,14.70596981048584,1.8983310857125466,0.9222352599932088,13.778444290161133,2.6575232340362303,4.5199392951326445,0.16565869748592377,0.09490252288983315,119.0,0.19315232429653406,,,,,0.7024503113782924,0.22487350378010457
ASL,lead,ASL/lead/32537.npz,32537,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32537.mp4,60,29.970029830932617,40,670,1.0,0.85,0.75,0.9833333333333333,60,670,True,0.2447546422481537,True,True,False,False,59,59,0.01666666666666672,0.01666666666666672,0.01666666666666672,0.1507936507936508,0.01666666666666672,0.08373015873015877,,,,,2.7374977711588144,0.04639826730777651,0.6947235465049744,0.012809822335839272,1.3905574492478774,20.820884704589844,3.392022579050418,2.2188942740703452,20.820884704589844,5.038823931828678,2.737497764173895,0.2184656858444214,0.24076303882344724,40.0,0.13414828479290009,,,,,0.6238832493623098,0.21245001526699067
ASL,lead,ASL/lead/32538.npz,32538,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32538.mp4,60,29.970029830932617,35,670,1.0,0.7166666666666667,0.6,1.0,60,670,True,0.22369533777236938,True,True,False,False,60,60,0.0,0.0,0.0,0.24761904761904763,0.0,0.12380952380952381,,,,,2.677574119530618,0.045382612195434206,0.7420651316642761,0.01488657295703888,1.3601182269848,22.239713668823242,3.656659843920912,2.4105129509136596,22.239713668823242,5.381043503187391,2.6775741286110133,0.19897640496492386,0.2144283907451124,47.0,0.1460214927792549,,,,,0.736488077044487,0.32170072931124255
ASL,lead,ASL/lead/32539.npz,32539,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32539.mp4,86,30.003061294555664,98,670,1.0,0.6046511627906976,0.7209302325581395,0.9883720930232558,86,670,True,0.28144702315330505,True,True,False,False,85,85,0.011627906976744207,0.011627906976744207,0.011627906976744207,0.16998892580287928,0.011627906976744207,0.09080841638981174,,,,,6.06391764851287,0.07134020762956318,0.7032750248908997,0.010923957452178001,2.1404246039250316,21.10040283203125,3.1358521666173638,1.565026843476863,19.107332229614258,3.796576328373942,6.063917658524588,0.1434631422162056,0.06352377835184657,90.0,0.2650322690606117,,,,,0.6990578694399013,0.17428966542900853
ASL,lead,ASL/lead/32541.npz,32541,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32541.mp4,60,29.969999313354492,51,670,0.9833333333333333,0.9666666666666667,0.9833333333333333,0.9833333333333333,60,670,True,0.05221036076545715,True,True,False,False,59,59,0.01666666666666672,0.01666666666666672,0.01666666666666672,0.01666666666666672,0.01666666666666672,0.01666666666666672,,,,,3.2655877666547894,0.0553489451975388,0.4023556113243103,0.0037223121616989374,1.6588078525106786,12.058597564697266,1.8284923126908428,1.189754978336137,7.37788200378418,1.7028024900179821,3.265587789355777,0.4536224454641342,0.30124538976840765,65.0,0.18740966729819775,,,,,2.996748681863149,0.09721674017481903
ASL,lead,ASL/lead/32547.npz,32547,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32547.mp4,88,30.250375747680664,108,670,1.0,0.7159090909090909,0.7159090909090909,0.0,88,670,True,0.11981846392154694,True,True,False,False,65,0,0.26136363636363635,1.0,0.6306818181818181,0.5427489177489178,1.0,0.7713744588744589,,,,,4.701960815582424,0.07346813774347538,0.6175615191459656,0.013186213560402393,2.2224387514870614,18.681467056274414,3.473688168072562,0.9611193646514227,8.811911582946777,1.8564050174877276,4.701960815582424,0.37776675820350647,0.08034238757404726,47.0,0.8297977447509766,,,,,,
ASL,lead,ASL/lead/66020.npz,66020,0,pose+hands+face+mouth,asl_vsl_extractor_v2,66020.mp4,60,23.976072311401367,66,670,1.0,0.5166666666666667,0.45,1.0,60,670,True,0.15465277433395386,True,True,False,False,60,60,0.0,0.0,0.0,0.2579365079365079,0.0,0.12896825396825395,,,,,3.9699325766414404,0.0672869928244312,0.6427398324012756,0.013168994337320328,1.6132777962139098,15.41037654876709,2.75140378821024,1.685784213244915,15.41037654876709,3.979253186392945,3.9699325698893517,0.06142936460673809,0.06889209212558145,61.0,0.20279933279380202,,,,,1.1224815050760906,0.31664361507481453
ASL,leader,ASL/leader/32520.npz,32520,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32520.mp4,87,24.0,99,670,1.0,0.6551724137931034,0.6436781609195402,1.0,87,670,True,0.25635406374931335,True,True,False,False,87,87,0.0,0.0,0.0,0.17077175697865354,0.0,0.08538587848932677,,,,,5.885283834300935,0.06843353295698762,0.8814062476158142,0.015644215047359467,1.6424047806581785,21.153749465942383,3.0018440025010675,1.4769640684127807,19.742774963378906,3.929937832262595,5.885283884243108,0.0791623406112194,0.047187488571597026,99.0,0.2168349977582693,,,,,0.7840240097593987,0.2408668161435745
ASL,leader,ASL/leader/32521.npz,32521,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32521.mp4,83,25.0,84,670,1.0,0.7228915662650602,0.7108433734939759,0.9879518072289156,83,670,True,0.25587543845176697,True,True,False,False,82,82,0.012048192771084376,0.012048192771084376,0.012048192771084376,0.1761331038439472,0.012048192771084376,0.09409064830751579,,,,,6.93337354529649,0.08455333591824989,0.8676861524581909,0.012513675726950169,2.11383339799032,21.692153930664062,2.7966133505710022,1.469438209577843,20.609600067138672,3.341349399044104,6.933373501873575,0.10844508931040764,0.03380886033427007,106.0,0.3941879980266094,,,,,0.807567298412323,0.27577923219970935
ASL,leader,ASL/leader/32522.npz,32522,0,pose+hands+face+mouth,asl_vsl_extractor_v2,32522.mp4,71,29.970029830932617,71,670,1.0,0.7464788732394366,0.676056338028169,0.8450704225352113,71,670,True,0.20020969212055206,True,True,False,False,62,60,0.12676056338028174,0.15492957746478875,0.14084507042253525,0.1985244802146211,0.15492957746478875,0.17672702883970492,,,,,8.152477024123073,0.13364716432988644,0.6158596277236938,0.01602466218173504,4.005409499660868,18.45733070373535,3.793862723591822,2.247301200032234,17.480348587036133,4.085702636592444,8.152476992225274,0.5541594177484512,0.13349291039899985,73.0,0.3459967225790024,,,,,0.7914871642986934,0.23306842387066368
